PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10000291.0,10000291.0,K00229,1.0,15.0,15.0,30.0,55.0,80.0,5.0,0.0,5.0,10.0,10.0,65.0
10000291.0,10000291.0,K00232,1.0,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
10000291.0,10000291.0,K00232,1.0,15.0,15.0,25.0,55.0,70.0,10.0,5.0,5.0,10.0,20.0,50.0
10000291.0,10000291.0,K00233,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00234,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00235,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00239,2.0,10.0,10.0,15.0,75.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
10000291.0,10000291.0,K00249,1.0,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
10000291.0,10000291.0,K00277,2.0,15.0,15.0,25.0,65.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
10000291.0,10000291.0,K00298,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00314,1.0,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
10000291.0,10000291.0,K00316,1.0,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
10000291.0,10000291.0,K00323,1.0,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
10000291.0,10000291.0,K00324,1.0,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
10000291.0,10000291.0,K00325,2.0,15.0,15.0,25.0,70.0,100.0,5.0,0.0,0.0,25.0,0.0,70.0
10000291.0,10000291.0,K00329,1.0,20.0,20.0,25.0,75.0,100.0,15.0,0.0,0.0,20.0,0.0,60.0
10000291.0,10000291.0,K00330,1.0,20.0,20.0,25.0,75.0,100.0,15.0,0.0,0.0,20.0,0.0,60.0
10000291.0,10000291.0,K00367,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00368,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00379,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00382,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00386,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00387,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00388,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00389,1.0,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
10000291.0,10000291.0,K00390,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00391,1.0,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
10000291.0,10000291.0,K00393,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00394,1.0,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
10000291.0,10000291.0,K00397,1.0,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
10000291.0,10000291.0,K00446,1.0,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
10000291.0,10000291.0,K00447,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00448,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00449,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00452,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
